User_ID,Time_of_Session,Purchase,Revenue
1548,2020-04-06 18:10:10,Upgrade,1810
12240,2020-04-06 18:26:06,Points,760
12240,2020-04-06 18:39:49,Points,760
15587,2020-04-06 19:56:33,Points,1810
17652,2020-04-07 10:31:40,Points,410
9187,2020-04-07 11:14:13,Points,760
10330,2020-04-07 13:19:29,Points,760
10330,2020-04-07 13:54:48,Upgrade,1810
10330,2020-04-07 14:05:03,Points,1810
10330,2020-04-07 15:10:25,Points,3560
9187,2020-04-07 21:37:15,Points,1810
10330,2020-04-08 03:41:00,Points,760
10330,2020-04-08 03:41:10,Points,760
10330,2020-04-08 11:22:27,Points,1810
18029,2020-04-08 15:37:02,Points,760
10330,2020-04-08 16:45:16,Points,1810
10330,2020-04-08 17:41:47,Upgrade,3555
10330,2020-04-08 19:30:02,Points,760
18029,2020-04-08 20:39:09,Points,760
18029,2020-04-08 20:46:10,Upgrade,760
10330,2020-04-08 20:48:37,Points,1810
1548,2020-04-08 21:25:38,ValuePack,1460
10330,2020-04-08 23:48:06,Points,410
10330,2020-04-09 03:51:50,Points,1810
17652,2020-04-09 08:36:05,Points,760
17652,2020-04-09 08:45:32,Upgrade,410
5532,2020-04-09 15:19:59,Points,1810
1548,2020-04-10 09:46:45,Points,1810
18029,2020-04-10 21:06:50,Points,760
18029,2020-04-10 21:39:50,Points,760
18029,2020-04-10 21:40:10,Points,410
1548,2020-04-14 06:55:44,ValuePack,1460
13466,2020-04-16 15:50:29,Points,760
13466,2020-04-16 16:12:35,Points,1810
13466,2020-04-16 16:55:30,Points,760
13466,2020-04-17 13:34:18,Upgrade,1810
13466,2020-04-17 13:39:16,Points,1810
11452,2020-04-02 00:13:46,Points,760
6549,2020-04-02 13:49:03,Points,760
6549,2020-04-02 14:12:46,Points,760
6549,2020-04-02 14:27:26,Upgrade,410
15854,2020-04-02 15:55:43,Upgrade,760
6549,2020-04-02 17:19:13,Points,760
6549,2020-04-02 17:19:22,Points,410
6549,2020-04-02 17:21:11,Points,760
6549,2020-04-04 15:01:08,Points,760
1095,2020-04-05 00:17:07,Upgrade,760
4992,2020-04-05 08:43:47,Points,760
4992,2020-04-05 08:54:47,Points,410
1095,2020-04-05 09:26:24,Upgrade,760
7430,2020-04-05 13:23:29,Points,760
7430,2020-04-05 16:50:51,Upgrade,3555
7430,2020-04-05 17:01:05,Points,760
7430,2020-04-05 17:06:22,Points,1810
7430,2020-04-05 17:20:04,Points,760
21845,2020-04-05 17:46:36,Points,760
21845,2020-04-05 17:52:23,Upgrade,760
7430,2020-04-05 17:53:35,Points,760
21845,2020-04-05 18:01:26,Points,760
7430,2020-04-05 18:34:52,Points,1810
21845,2020-04-05 18:35:42,Points,760
7430,2020-04-05 19:01:24,Points,1810
7430,2020-04-05 20:47:29,Points,1810
1095,2020-04-05 21:15:24,Upgrade,760
7430,2020-04-05 21:15:55,Points,1810
1095,2020-04-05 21:15:56,Points,760
14788,2020-04-06 07:19:31,Points,760
14788,2020-04-06 07:33:39,Points,760
14788,2020-04-06 07:37:48,Points,760
8697,2020-04-06 11:17:38,Points,760
8697,2020-04-06 11:22:25,Points,760
8697,2020-04-06 11:37:46,Points,1810
8697,2020-04-06 11:49:36,Upgrade,3555
8697,2020-04-06 12:18:36,Points,760
8697,2020-04-06 12:34:49,Points,760
21845,2020-04-06 13:27:46,Points,760
3281,2020-04-06 14:24:27,Upgrade,760
3281,2020-04-06 14:24:53,Points,760
19255,2020-04-06 14:25:45,Upgrade,760
3281,2020-04-06 14:35:43,Points,760
3281,2020-04-06 14:44:46,Points,760
3281,2020-04-06 15:31:32,Points,1810
14788,2020-04-06 16:47:58,Points,760
21845,2020-04-06 18:04:41,Points,760
4617,2020-04-06 19:49:00,Points,760
21845,2020-04-06 20:26:46,Points,1810
4857,2020-04-06 22:39:14,Points,760
4857,2020-04-06 22:47:23,Upgrade,760
4857,2020-04-06 23:01:20,Points,1810
19255,2020-04-07 01:40:40,Points,760
3281,2020-04-07 04:48:13,Upgrade,760
3281,2020-04-07 07:16:49,Points,1810
1588,2020-04-07 07:21:23,Upgrade,760
3281,2020-04-07 07:38:25,Points,1810
3281,2020-04-07 07:54:50,Points,760
14788,2020-04-07 15:59:04,Points,760
14788,2020-04-07 15:59:04,Points,760
4617,2020-04-07 18:14:30,Points,410
4617,2020-04-07 18:15:11,Points,410
4617,2020-04-07 18:15:19,Points,760
4617,2020-04-07 18:29:53,Points,410
4992,2020-04-07 18:40:19,Points,760
4992,2020-04-07 18:40:45,Points,410
15854,2020-04-07 20:17:12,Upgrade,410
4857,2020-04-08 00:11:55,Points,760
15667,2020-04-08 08:40:46,Upgrade,1810
14788,2020-04-08 15:37:22,Points,1810
4617,2020-04-08 16:53:47,Points,3560
19255,2020-04-09 01:07:25,Points,760
21845,2020-04-09 07:35:12,Points,760
21845,2020-04-09 15:59:03,Points,1810
21845,2020-04-09 16:15:04,Upgrade,760
21845,2020-04-11 11:54:56,Points,760
21845,2020-04-11 12:18:45,Points,760
21845,2020-04-11 12:18:52,Points,760
14788,2020-04-11 15:36:03,Points,760
4617,2020-04-12 08:58:01,Points,760
4617,2020-04-12 09:00:58,Points,760
4617,2020-04-13 07:26:23,Points,1810
14788,2020-04-13 08:19:20,Points,1810
4617,2020-04-13 17:26:38,Points,1810
4617,2020-04-13 17:26:45,Points,760
417,2020-04-18 05:21:30,Points,1810
417,2020-04-18 11:31:14,Points,3560
1246,2020-04-01 20:16:01,Upgrade,410
1246,2020-04-01 20:38:27,Upgrade,760
1246,2020-04-01 20:49:39,Points,760
1246,2020-04-01 20:51:11,Points,410
1246,2020-04-01 21:36:39,Points,410
1246,2020-04-01 21:49:25,Upgrade,760
17296,2020-04-02 14:35:41,Points,1810
17296,2020-04-02 15:37:04,Points,410
17392,2020-04-02 18:03:17,Upgrade,760
8576,2020-04-03 02:17:33,Points,760
8576,2020-04-03 02:22:11,Points,760
8576,2020-04-03 03:21:12,Points,760
21707,2020-04-03 12:39:52,Points,1810
20995,2020-04-03 14:31:20,Upgrade,3555
17392,2020-04-03 14:37:28,Upgrade,1810
19475,2020-04-03 15:09:52,Points,760
20995,2020-04-03 15:16:16,Points,760
10784,2020-04-03 16:45:33,Points,760
10784,2020-04-03 17:15:11,Upgrade,760
10784,2020-04-03 17:16:12,Points,760
10784,2020-04-03 18:37:02,Points,760
17853,2020-04-03 22:11:38,Upgrade,760
8576,2020-04-04 04:20:07,Points,1810
8576,2020-04-04 04:35:48,Points,1810
19116,2020-04-04 05:46:30,Points,760
19475,2020-04-04 08:26:42,Points,760
17853,2020-04-04 08:37:07,Points,760
17853,2020-04-04 09:28:01,Upgrade,410
17392,2020-04-04 09:35:48,Points,760
17853,2020-04-04 09:51:00,Points,410
19475,2020-04-04 12:19:45,Points,760
10784,2020-04-04 13:13:09,Points,760
10784,2020-04-04 13:21:02,Points,760
19475,2020-04-04 14:19:12,Upgrade,760
19475,2020-04-04 14:24:42,Points,1810
19116,2020-04-04 17:10:50,Points,760
10784,2020-04-04 18:42:36,Upgrade,410
19214,2020-04-04 19:00:11,Upgrade,3555
10784,2020-04-04 19:23:36,Upgrade,410
21755,2020-04-05 12:53:01,Points,760
3722,2020-04-05 13:24:12,Upgrade,760
1246,2020-04-05 16:40:38,Points,760
10784,2020-04-05 17:26:51,Upgrade,410
1246,2020-04-05 17:45:54,Points,410
10784,2020-04-05 17:55:37,Upgrade,410
19116,2020-04-05 20:21:19,Points,760
19116,2020-04-05 20:21:28,Points,760
20738,2020-04-06 03:19:39,Points,1810
21707,2020-04-06 08:24:10,Points,1810
9712,2020-04-06 09:22:29,Points,760
9712,2020-04-06 09:28:30,Upgrade,760
9712,2020-04-06 09:29:13,Points,760
9712,2020-04-06 09:35:13,Points,760
9712,2020-04-06 09:41:23,Points,760
9712,2020-04-06 09:41:36,Points,760
9712,2020-04-06 09:43:56,Points,760
9712,2020-04-06 09:53:59,Points,760
9712,2020-04-06 10:02:07,Points,760
9712,2020-04-06 10:12:40,Points,760
8686,2020-04-06 17:03:21,Points,3560
21707,2020-04-06 19:49:47,Upgrade,760
21755,2020-04-07 16:28:01,Upgrade,760
21755,2020-04-07 16:28:01,Upgrade,760
21755,2020-04-07 16:34:48,Points,760
21755,2020-04-07 16:34:48,Points,760
21755,2020-04-07 16:41:51,Points,760
21755,2020-04-07 16:41:51,Points,760
8576,2020-04-07 19:11:13,Points,7060
8686,2020-04-08 04:39:03,Upgrade,1810
1283,2020-04-08 15:05:29,Points,760
21707,2020-04-08 17:31:00,Upgrade,1810
8576,2020-04-09 00:37:53,Upgrade,3555
8576,2020-04-09 01:47:40,Points,7060
1283,2020-04-09 05:17:06,Points,760
8686,2020-04-09 05:21:26,Points,3560
20738,2020-04-09 08:50:00,Points,1810
1283,2020-04-09 11:30:06,Points,760
21707,2020-04-09 18:36:53,ValuePack,1460
1246,2020-04-09 22:21:47,Points,760
10803,2020-04-10 03:08:42,Points,760
10803,2020-04-10 03:09:16,Points,410
10803,2020-04-10 03:12:53,Points,410
1283,2020-04-10 11:31:06,Points,1810
1283,2020-04-10 12:22:59,Upgrade,760
10803,2020-04-11 02:33:10,Points,1810
8589,2020-04-12 16:53:26,Points,760
15348,2020-04-01 09:36:32,Points,760
15348,2020-04-01 10:42:27,Upgrade,760
14201,2020-04-02 08:25:31,Points,760
14201,2020-04-02 08:52:26,Upgrade,760
14201,2020-04-02 09:06:58,Points,410
14201,2020-04-02 09:07:08,Points,410
14201,2020-04-02 09:07:17,Points,760
14201,2020-04-02 09:59:54,Upgrade,410
14201,2020-04-02 10:14:21,Upgrade,410
14201,2020-04-03 12:08:40,Upgrade,760
6815,2020-04-04 01:10:20,Points,1810
6815,2020-04-04 21:42:54,Points,1810
6815,2020-04-04 21:50:35,Upgrade,760
4199,2020-04-05 00:02:37,Points,410
6815,2020-04-05 00:12:34,Points,760
22569,2020-04-05 07:48:31,Points,760
22569,2020-04-05 08:01:17,Points,760
22569,2020-04-05 08:10:27,Upgrade,760
22569,2020-04-05 08:13:33,Points,760
6815,2020-04-05 11:50:04,Points,1810
15348,2020-04-05 12:09:25,Points,1810
6815,2020-04-05 21:26:15,Upgrade,760
6815,2020-04-06 08:51:15,Points,760
13772,2020-04-06 10:07:38,Upgrade,760
22569,2020-04-06 11:50:04,Points,760
16997,2020-04-06 14:51:10,Upgrade,760
4167,2020-04-06 19:05:54,Points,760
12776,2020-04-06 19:49:31,Points,1810
17953,2020-04-06 19:50:29,Points,760
12776,2020-04-06 20:10:33,Upgrade,760
12776,2020-04-06 20:11:06,Points,3560
